Total Nacional;Municipios;Sexo;Unidades de medida;Total
Total Nacional;02023 Casas de Ves;Mujeres;Personas;265
Total Nacional;02024 Casas-Ibáñez;Ambos sexos;Personas;4.530
Total Nacional;02024 Casas-Ibáñez;Hombres;Personas;2.271
Total Nacional;02024 Casas-Ibáñez;Mujeres;Personas;2.259
Total Nacional;02025 Caudete;Ambos sexos;Personas;10.058
Total Nacional;02025 Caudete;Hombres;Personas;5.122
Total Nacional;02025 Caudete;Mujeres;Personas;4.936
Total Nacional;02026 Cenizate;Ambos sexos;Personas;1.198
Total Nacional;02026 Cenizate;Hombres;Personas;602
Total Nacional;02026 Cenizate;Mujeres;Personas;596
Total Nacional;02029 Chinchilla de Monte-Aragón;Ambos sexos;Personas;4.330
Total Nacional;02029 Chinchilla de Monte-Aragón;Hombres;Personas;2.253
Total Nacional;02029 Chinchilla de Monte-Aragón;Mujeres;Personas;2.077
Total Nacional;02027 Corral-Rubio;Ambos sexos;Personas;306
Total Nacional;02027 Corral-Rubio;Hombres;Personas;165
Total Nacional;02027 Corral-Rubio;Mujeres;Personas;141
Total Nacional;02028 Cotillas;Ambos sexos;Personas;132
Total Nacional;02028 Cotillas;Hombres;Personas;70
Total Nacional;02028 Cotillas;Mujeres;Personas;62
Total Nacional;02030 Elche de la Sierra;Ambos sexos;Personas;3.551
Total Nacional;02030 Elche de la Sierra;Hombres;Personas;1.756
Total Nacional;02030 Elche de la Sierra;Mujeres;Personas;1.795
Total Nacional;02031 Férez;Ambos sexos;Personas;629
Total Nacional;02031 Férez;Hombres;Personas;304
Total Nacional;02031 Férez;Mujeres;Personas;325
Total Nacional;02032 Fuensanta;Ambos sexos;Personas;284
Total Nacional;02032 Fuensanta;Hombres;Personas;159
Total Nacional;02032 Fuensanta;Mujeres;Personas;125
Total Nacional;02033 Fuente-Álamo;Ambos sexos;Personas;2.445
Total Nacional;02033 Fuente-Álamo;Hombres;Personas;1.279
Total Nacional;02033 Fuente-Álamo;Mujeres;Personas;1.166
Total Nacional;02034 Fuentealbilla;Ambos sexos;Personas;1.830
Total Nacional;02034 Fuentealbilla;Hombres;Personas;939
Total Nacional;02034 Fuentealbilla;Mujeres;Personas;891
Total Nacional;02035 Gineta, La;Ambos sexos;Personas;2.539
Total Nacional;02035 Gineta, La;Hombres;Personas;1.315
Total Nacional;02035 Gineta, La;Mujeres;Personas;1.224
Total Nacional;02036 Golosalvo;Ambos sexos;Personas;99
Total Nacional;02036 Golosalvo;Hombres;Personas;52
Total Nacional;02036 Golosalvo;Mujeres;Personas;47
Total Nacional;02037 Hellín;Ambos sexos;Personas;30.305
Total Nacional;02037 Hellín;Hombres;Personas;15.235
Total Nacional;02037 Hellín;Mujeres;Personas;15.070
Total Nacional;02038 Herrera, La;Ambos sexos;Personas;318
Total Nacional;02038 Herrera, La;Hombres;Personas;164
Total Nacional;02038 Herrera, La;Mujeres;Personas;154
Total Nacional;02039 Higueruela;Ambos sexos;Personas;1.143
Total Nacional;02039 Higueruela;Hombres;Personas;599
Total Nacional;02039 Higueruela;Mujeres;Personas;544
Total Nacional;02040 Hoya-Gonzalo;Ambos sexos;Personas;604
Total Nacional;02040 Hoya-Gonzalo;Hombres;Personas;326
Total Nacional;02040 Hoya-Gonzalo;Mujeres;Personas;278
Total Nacional;02041 Jorquera;Ambos sexos;Personas;365
Total Nacional;02041 Jorquera;Hombres;Personas;197
Total Nacional;02041 Jorquera;Mujeres;Personas;168
Total Nacional;02042 Letur;Ambos sexos;Personas;906
Total Nacional;02042 Letur;Hombres;Personas;443
Total Nacional;02042 Letur;Mujeres;Personas;463
