Total Nacional;Municipios;Sexo;Unidades de medida;Total
Total Nacional;27050 Quiroga;Mujeres;Personas;1.667
Total Nacional;27056 Rábade;Ambos sexos;Personas;1.517
Total Nacional;27056 Rábade;Hombres;Personas;752
Total Nacional;27056 Rábade;Mujeres;Personas;765
Total Nacional;27051 Ribadeo;Ambos sexos;Personas;9.919
Total Nacional;27051 Ribadeo;Hombres;Personas;4.697
Total Nacional;27051 Ribadeo;Mujeres;Personas;5.222
Total Nacional;27052 Ribas de Sil;Ambos sexos;Personas;949
Total Nacional;27052 Ribas de Sil;Hombres;Personas;482
Total Nacional;27052 Ribas de Sil;Mujeres;Personas;467
Total Nacional;27053 Ribeira de Piquín;Ambos sexos;Personas;512
Total Nacional;27053 Ribeira de Piquín;Hombres;Personas;269
Total Nacional;27053 Ribeira de Piquín;Mujeres;Personas;243
Total Nacional;27054 Riotorto;Ambos sexos;Personas;1.211
Total Nacional;27054 Riotorto;Hombres;Personas;605
Total Nacional;27054 Riotorto;Mujeres;Personas;606
Total Nacional;27055 Samos;Ambos sexos;Personas;1.228
Total Nacional;27055 Samos;Hombres;Personas;648
Total Nacional;27055 Samos;Mujeres;Personas;580
Total Nacional;27057 Sarria;Ambos sexos;Personas;13.316
Total Nacional;27057 Sarria;Hombres;Personas;6.484
Total Nacional;27057 Sarria;Mujeres;Personas;6.832
Total Nacional;27058 Saviñao, O;Ambos sexos;Personas;3.583
Total Nacional;27058 Saviñao, O;Hombres;Personas;1.800
Total Nacional;27058 Saviñao, O;Mujeres;Personas;1.783
Total Nacional;27059 Sober;Ambos sexos;Personas;2.238
Total Nacional;27059 Sober;Hombres;Personas;1.099
Total Nacional;27059 Sober;Mujeres;Personas;1.139
Total Nacional;27060 Taboada;Ambos sexos;Personas;2.687
Total Nacional;27060 Taboada;Hombres;Personas;1.290
Total Nacional;27060 Taboada;Mujeres;Personas;1.397
Total Nacional;27061 Trabada;Ambos sexos;Personas;1.114
Total Nacional;27061 Trabada;Hombres;Personas;540
Total Nacional;27061 Trabada;Mujeres;Personas;574
Total Nacional;27062 Triacastela;Ambos sexos;Personas;629
Total Nacional;27062 Triacastela;Hombres;Personas;313
Total Nacional;27062 Triacastela;Mujeres;Personas;316
Total Nacional;27063 Valadouro, O;Ambos sexos;Personas;1.957
Total Nacional;27063 Valadouro, O;Hombres;Personas;932
Total Nacional;27063 Valadouro, O;Mujeres;Personas;1.025
Total Nacional;27064 Vicedo, O;Ambos sexos;Personas;1.658
Total Nacional;27064 Vicedo, O;Hombres;Personas;813
Total Nacional;27064 Vicedo, O;Mujeres;Personas;845
Total Nacional;27065 Vilalba;Ambos sexos;Personas;14.014
Total Nacional;27065 Vilalba;Hombres;Personas;6.717
Total Nacional;27065 Vilalba;Mujeres;Personas;7.297
Total Nacional;27066 Viveiro;Ambos sexos;Personas;15.291
Total Nacional;27066 Viveiro;Hombres;Personas;7.473
Total Nacional;27066 Viveiro;Mujeres;Personas;7.818
Total Nacional;27021 Xermade;Ambos sexos;Personas;1.767
Total Nacional;27021 Xermade;Hombres;Personas;870
Total Nacional;27021 Xermade;Mujeres;Personas;897
Total Nacional;27025 Xove;Ambos sexos;Personas;3.335
Total Nacional;27025 Xove;Hombres;Personas;1.700
Total Nacional;27025 Xove;Mujeres;Personas;1.635
Total Nacional;28001 Acebeda, La;Ambos sexos;Personas;55
Total Nacional;28001 Acebeda, La;Hombres;Personas;26
Total Nacional;28001 Acebeda, La;Mujeres;Personas;29
Total Nacional;28002 Ajalvir;Ambos sexos;Personas;4.793
Total Nacional;28002 Ajalvir;Hombres;Personas;2.503
Total Nacional;28002 Ajalvir;Mujeres;Personas;2.290
Total Nacional;28003 Alameda del Valle;Ambos sexos;Personas;248
Total Nacional;28003 Alameda del Valle;Hombres;Personas;150
Total Nacional;28003 Alameda del Valle;Mujeres;Personas;98
Total Nacional;28004 Álamo, El;Ambos sexos;Personas;9.946
Total Nacional;28004 Álamo, El;Hombres;Personas;4.958
Total Nacional;28004 Álamo, El;Mujeres;Personas;4.988
Total Nacional;28005 Alcalá de Henares;Ambos sexos;Personas;195.570
Total Nacional;28005 Alcalá de Henares;Hombres;Personas;94.929
Total Nacional;28005 Alcalá de Henares;Mujeres;Personas;100.641
Total Nacional;28006 Alcobendas;Ambos sexos;Personas;116.895
Total Nacional;28006 Alcobendas;Hombres;Personas;55.875
Total Nacional;28006 Alcobendas;Mujeres;Personas;61.020
Total Nacional;28007 Alcorcón;Ambos sexos;Personas;171.575
Total Nacional;28007 Alcorcón;Hombres;Personas;82.405
Total Nacional;28007 Alcorcón;Mujeres;Personas;89.170
Total Nacional;28008 Aldea del Fresno;Ambos sexos;Personas;3.078
Total Nacional;28008 Aldea del Fresno;Hombres;Personas;1.570
Total Nacional;28008 Aldea del Fresno;Mujeres;Personas;1.508
Total Nacional;28009 Algete;Ambos sexos;Personas;20.704
Total Nacional;28009 Algete;Hombres;Personas;10.157
Total Nacional;28009 Algete;Mujeres;Personas;10.547
Total Nacional;28010 Alpedrete;Ambos sexos;Personas;15.178
Total Nacional;28010 Alpedrete;Hombres;Personas;7.443
Total Nacional;28010 Alpedrete;Mujeres;Personas;7.735
Total Nacional;28011 Ambite;Ambos sexos;Personas;663
Total Nacional;28011 Ambite;Hombres;Personas;332
Total Nacional;28011 Ambite;Mujeres;Personas;331
Total Nacional;28012 Anchuelo;Ambos sexos;Personas;1.365
Total Nacional;28012 Anchuelo;Hombres;Personas;704
Total Nacional;28012 Anchuelo;Mujeres;Personas;661
Total Nacional;28013 Aranjuez;Ambos sexos;Personas;60.156
Total Nacional;28013 Aranjuez;Hombres;Personas;29.328
Total Nacional;28013 Aranjuez;Mujeres;Personas;30.828
Total Nacional;28014 Arganda del Rey;Ambos sexos;Personas;56.315
Total Nacional;28014 Arganda del Rey;Hombres;Personas;28.147
Total Nacional;28014 Arganda del Rey;Mujeres;Personas;28.168
Total Nacional;28015 Arroyomolinos;Ambos sexos;Personas;33.757
Total Nacional;28015 Arroyomolinos;Hombres;Personas;16.820
Total Nacional;28015 Arroyomolinos;Mujeres;Personas;16.937
Total Nacional;28016 Atazar, El;Ambos sexos;Personas;109
Total Nacional;28016 Atazar, El;Hombres;Personas;61
Total Nacional;28016 Atazar, El;Mujeres;Personas;48
Total Nacional;28017 Batres;Ambos sexos;Personas;1.818
Total Nacional;28017 Batres;Hombres;Personas;921
Total Nacional;28017 Batres;Mujeres;Personas;897
Total Nacional;28018 Becerril de la Sierra;Ambos sexos;Personas;6.096
Total Nacional;28018 Becerril de la Sierra;Hombres;Personas;3.039
Total Nacional;28018 Becerril de la Sierra;Mujeres;Personas;3.057
Total Nacional;28019 Belmonte de Tajo;Ambos sexos;Personas;1.749
Total Nacional;28019 Belmonte de Tajo;Hombres;Personas;903
Total Nacional;28019 Belmonte de Tajo;Mujeres;Personas;846
Total Nacional;28021 Berrueco, El;Ambos sexos;Personas;810
Total Nacional;28021 Berrueco, El;Hombres;Personas;415
Total Nacional;28021 Berrueco, El;Mujeres;Personas;395
Total Nacional;28020 Berzosa del Lozoya;Ambos sexos;Personas;213
Total Nacional;28020 Berzosa del Lozoya;Hombres;Personas;123
Total Nacional;28020 Berzosa del Lozoya;Mujeres;Personas;90
Total Nacional;28022 Boadilla del Monte;Ambos sexos;Personas;59.000
Total Nacional;28022 Boadilla del Monte;Hombres;Personas;28.822
Total Nacional;28022 Boadilla del Monte;Mujeres;Personas;30.178
Total Nacional;28023 Boalo, El;Ambos sexos;Personas;8.006
Total Nacional;28023 Boalo, El;Hombres;Personas;4.027
Total Nacional;28023 Boalo, El;Mujeres;Personas;3.979
Total Nacional;28024 Braojos;Ambos sexos;Personas;218
Total Nacional;28024 Braojos;Hombres;Personas;132
Total Nacional;28024 Braojos;Mujeres;Personas;86
Total Nacional;28025 Brea de Tajo;Ambos sexos;Personas;529
Total Nacional;28025 Brea de Tajo;Hombres;Personas;308
Total Nacional;28025 Brea de Tajo;Mujeres;Personas;221
Total Nacional;28026 Brunete;Ambos sexos;Personas;10.699
Total Nacional;28026 Brunete;Hombres;Personas;5.270
Total Nacional;28026 Brunete;Mujeres;Personas;5.429
Total Nacional;28027 Buitrago del Lozoya;Ambos sexos;Personas;1.943
Total Nacional;28027 Buitrago del Lozoya;Hombres;Personas;927
Total Nacional;28027 Buitrago del Lozoya;Mujeres;Personas;1.016
Total Nacional;28028 Bustarviejo;Ambos sexos;Personas;2.706
Total Nacional;28028 Bustarviejo;Hombres;Personas;1.367
Total Nacional;28028 Bustarviejo;Mujeres;Personas;1.339
Total Nacional;28029 Cabanillas de la Sierra;Ambos sexos;Personas;841
Total Nacional;28029 Cabanillas de la Sierra;Hombres;Personas;434
Total Nacional;28029 Cabanillas de la Sierra;Mujeres;Personas;407
Total Nacional;28030 Cabrera, La;Ambos sexos;Personas;2.776
Total Nacional;28030 Cabrera, La;Hombres;Personas;1.357
Total Nacional;28030 Cabrera, La;Mujeres;Personas;1.419
Total Nacional;28031 Cadalso de los Vidrios;Ambos sexos;Personas;3.227
Total Nacional;28031 Cadalso de los Vidrios;Hombres;Personas;1.668
Total Nacional;28031 Cadalso de los Vidrios;Mujeres;Personas;1.559
Total Nacional;28032 Camarma de Esteruelas;Ambos sexos;Personas;7.536
Total Nacional;28032 Camarma de Esteruelas;Hombres;Personas;3.796
Total Nacional;28032 Camarma de Esteruelas;Mujeres;Personas;3.740
Total Nacional;28033 Campo Real;Ambos sexos;Personas;6.435
Total Nacional;28033 Campo Real;Hombres;Personas;3.265
Total Nacional;28033 Campo Real;Mujeres;Personas;3.170
Total Nacional;28034 Canencia;Ambos sexos;Personas;457
Total Nacional;28034 Canencia;Hombres;Personas;244
Total Nacional;28034 Canencia;Mujeres;Personas;213
Total Nacional;28035 Carabaña;Ambos sexos;Personas;2.168
Total Nacional;28035 Carabaña;Hombres;Personas;1.093
Total Nacional;28035 Carabaña;Mujeres;Personas;1.075
Total Nacional;28036 Casarrubuelos;Ambos sexos;Personas;3.950
Total Nacional;28036 Casarrubuelos;Hombres;Personas;2.014
Total Nacional;28036 Casarrubuelos;Mujeres;Personas;1.936
Total Nacional;28037 Cenicientos;Ambos sexos;Personas;2.078
Total Nacional;28037 Cenicientos;Hombres;Personas;1.041
Total Nacional;28037 Cenicientos;Mujeres;Personas;1.037
Total Nacional;28038 Cercedilla;Ambos sexos;Personas;7.315
Total Nacional;28038 Cercedilla;Hombres;Personas;3.633
Total Nacional;28038 Cercedilla;Mujeres;Personas;3.682
Total Nacional;28039 Cervera de Buitrago;Ambos sexos;Personas;158
Total Nacional;28039 Cervera de Buitrago;Hombres;Personas;97
Total Nacional;28039 Cervera de Buitrago;Mujeres;Personas;61
Total Nacional;28051 Chapinería;Ambos sexos;Personas;2.493
Total Nacional;28051 Chapinería;Hombres;Personas;1.257
Total Nacional;28051 Chapinería;Mujeres;Personas;1.236
Total Nacional;28052 Chinchón;Ambos sexos;Personas;5.544
Total Nacional;28052 Chinchón;Hombres;Personas;2.787
Total Nacional;28052 Chinchón;Mujeres;Personas;2.757
Total Nacional;28040 Ciempozuelos;Ambos sexos;Personas;25.070
Total Nacional;28040 Ciempozuelos;Hombres;Personas;12.647
Total Nacional;28040 Ciempozuelos;Mujeres;Personas;12.423
Total Nacional;28041 Cobeña;Ambos sexos;Personas;7.424
Total Nacional;28041 Cobeña;Hombres;Personas;3.645
Total Nacional;28041 Cobeña;Mujeres;Personas;3.779
Total Nacional;28046 Collado Mediano;Ambos sexos;Personas;7.348
Total Nacional;28046 Collado Mediano;Hombres;Personas;3.660
Total Nacional;28046 Collado Mediano;Mujeres;Personas;3.688
Total Nacional;28047 Collado Villalba;Ambos sexos;Personas;64.297
Total Nacional;28047 Collado Villalba;Hombres;Personas;31.163
Total Nacional;28047 Collado Villalba;Mujeres;Personas;33.134
Total Nacional;28043 Colmenar de Oreja;Ambos sexos;Personas;8.422
Total Nacional;28043 Colmenar de Oreja;Hombres;Personas;4.252
Total Nacional;28043 Colmenar de Oreja;Mujeres;Personas;4.170
Total Nacional;28042 Colmenar del Arroyo;Ambos sexos;Personas;1.879
Total Nacional;28042 Colmenar del Arroyo;Hombres;Personas;982
Total Nacional;28042 Colmenar del Arroyo;Mujeres;Personas;897
Total Nacional;28045 Colmenar Viejo;Ambos sexos;Personas;52.465
Total Nacional;28045 Colmenar Viejo;Hombres;Personas;25.884
Total Nacional;28045 Colmenar Viejo;Mujeres;Personas;26.581
Total Nacional;28044 Colmenarejo;Ambos sexos;Personas;9.414
Total Nacional;28044 Colmenarejo;Hombres;Personas;4.598
Total Nacional;28044 Colmenarejo;Mujeres;Personas;4.816
Total Nacional;28048 Corpa;Ambos sexos;Personas;742
Total Nacional;28048 Corpa;Hombres;Personas;384
Total Nacional;28048 Corpa;Mujeres;Personas;358
Total Nacional;28049 Coslada;Ambos sexos;Personas;81.388
Total Nacional;28049 Coslada;Hombres;Personas;39.831
Total Nacional;28049 Coslada;Mujeres;Personas;41.557
Total Nacional;28050 Cubas de la Sagra;Ambos sexos;Personas;6.607
Total Nacional;28050 Cubas de la Sagra;Hombres;Personas;3.291
Total Nacional;28050 Cubas de la Sagra;Mujeres;Personas;3.316
Total Nacional;28053 Daganzo de Arriba;Ambos sexos;Personas;10.528
Total Nacional;28053 Daganzo de Arriba;Hombres;Personas;5.250
Total Nacional;28053 Daganzo de Arriba;Mujeres;Personas;5.278
Total Nacional;28054 Escorial, El;Ambos sexos;Personas;16.681
Total Nacional;28054 Escorial, El;Hombres;Personas;8.207
Total Nacional;28054 Escorial, El;Mujeres;Personas;8.474
Total Nacional;28055 Estremera;Ambos sexos;Personas;1.379
Total Nacional;28055 Estremera;Hombres;Personas;717
Total Nacional;28055 Estremera;Mujeres;Personas;662
Total Nacional;28056 Fresnedillas de la Oliva;Ambos sexos;Personas;1.733
Total Nacional;28056 Fresnedillas de la Oliva;Hombres;Personas;873
Total Nacional;28056 Fresnedillas de la Oliva;Mujeres;Personas;860
Total Nacional;28057 Fresno de Torote;Ambos sexos;Personas;2.412
Total Nacional;28057 Fresno de Torote;Hombres;Personas;1.282
Total Nacional;28057 Fresno de Torote;Mujeres;Personas;1.130
Total Nacional;28058 Fuenlabrada;Ambos sexos;Personas;192.612
Total Nacional;28058 Fuenlabrada;Hombres;Personas;94.756
Total Nacional;28058 Fuenlabrada;Mujeres;Personas;97.856
Total Nacional;28059 Fuente el Saz de Jarama;Ambos sexos;Personas;6.868
Total Nacional;28059 Fuente el Saz de Jarama;Hombres;Personas;3.467
Total Nacional;28059 Fuente el Saz de Jarama;Mujeres;Personas;3.401
Total Nacional;28060 Fuentidueña de Tajo;Ambos sexos;Personas;2.223
Total Nacional;28060 Fuentidueña de Tajo;Hombres;Personas;1.114
Total Nacional;28060 Fuentidueña de Tajo;Mujeres;Personas;1.109
Total Nacional;28061 Galapagar;Ambos sexos;Personas;34.653
Total Nacional;28061 Galapagar;Hombres;Personas;16.899
Total Nacional;28061 Galapagar;Mujeres;Personas;17.754
Total Nacional;28062 Garganta de los Montes;Ambos sexos;Personas;411
Total Nacional;28062 Garganta de los Montes;Hombres;Personas;217
Total Nacional;28062 Garganta de los Montes;Mujeres;Personas;194
Total Nacional;28063 Gargantilla del Lozoya y Pinilla de Buitrago;Ambos sexos;Personas;348
Total Nacional;28063 Gargantilla del Lozoya y Pinilla de Buitrago;Hombres;Personas;192
Total Nacional;28063 Gargantilla del Lozoya y Pinilla de Buitrago;Mujeres;Personas;156
Total Nacional;28064 Gascones;Ambos sexos;Personas;191
Total Nacional;28064 Gascones;Hombres;Personas;102
Total Nacional;28064 Gascones;Mujeres;Personas;89
Total Nacional;28065 Getafe;Ambos sexos;Personas;183.872
Total Nacional;28065 Getafe;Hombres;Personas;89.771
Total Nacional;28065 Getafe;Mujeres;Personas;94.101
Total Nacional;28066 Griñón;Ambos sexos;Personas;10.489
Total Nacional;28066 Griñón;Hombres;Personas;5.226
Total Nacional;28066 Griñón;Mujeres;Personas;5.263
Total Nacional;28067 Guadalix de la Sierra;Ambos sexos;Personas;6.597
Total Nacional;28067 Guadalix de la Sierra;Hombres;Personas;3.320
Total Nacional;28067 Guadalix de la Sierra;Mujeres;Personas;3.277
Total Nacional;28068 Guadarrama;Ambos sexos;Personas;16.583
Total Nacional;28068 Guadarrama;Hombres;Personas;8.193
Total Nacional;28068 Guadarrama;Mujeres;Personas;8.390
Total Nacional;28069 Hiruela, La;Ambos sexos;Personas;73
Total Nacional;28069 Hiruela, La;Hombres;Personas;51
Total Nacional;28069 Hiruela, La;Mujeres;Personas;22
Total Nacional;28070 Horcajo de la Sierra-Aoslos;Ambos sexos;Personas;169
Total Nacional;28070 Horcajo de la Sierra-Aoslos;Hombres;Personas;89
Total Nacional;28070 Horcajo de la Sierra-Aoslos;Mujeres;Personas;80
Total Nacional;28071 Horcajuelo de la Sierra;Ambos sexos;Personas;106
Total Nacional;28071 Horcajuelo de la Sierra;Hombres;Personas;57
Total Nacional;28071 Horcajuelo de la Sierra;Mujeres;Personas;49
Total Nacional;28072 Hoyo de Manzanares;Ambos sexos;Personas;8.669
Total Nacional;28072 Hoyo de Manzanares;Hombres;Personas;4.363
Total Nacional;28072 Hoyo de Manzanares;Mujeres;Personas;4.306
Total Nacional;28073 Humanes de Madrid;Ambos sexos;Personas;19.685
Total Nacional;28073 Humanes de Madrid;Hombres;Personas;9.784
Total Nacional;28073 Humanes de Madrid;Mujeres;Personas;9.901
Total Nacional;28074 Leganés;Ambos sexos;Personas;188.687
Total Nacional;28074 Leganés;Hombres;Personas;91.223
Total Nacional;28074 Leganés;Mujeres;Personas;97.464
Total Nacional;28075 Loeches;Ambos sexos;Personas;8.916
Total Nacional;28075 Loeches;Hombres;Personas;4.492
Total Nacional;28075 Loeches;Mujeres;Personas;4.424
Total Nacional;28076 Lozoya;Ambos sexos;Personas;599
Total Nacional;28076 Lozoya;Hombres;Personas;321
Total Nacional;28076 Lozoya;Mujeres;Personas;278
Total Nacional;28901 Lozoyuela-Navas-Sieteiglesias;Ambos sexos;Personas;1.412
Total Nacional;28901 Lozoyuela-Navas-Sieteiglesias;Hombres;Personas;732
Total Nacional;28901 Lozoyuela-Navas-Sieteiglesias;Mujeres;Personas;680
Total Nacional;28078 Madarcos;Ambos sexos;Personas;57
Total Nacional;28078 Madarcos;Hombres;Personas;33
Total Nacional;28078 Madarcos;Mujeres;Personas;24
Total Nacional;28079 Madrid;Ambos sexos;Personas;3.277.451
Total Nacional;28079 Madrid;Hombres;Personas;1.529.623
Total Nacional;28079 Madrid;Mujeres;Personas;1.747.828
Total Nacional;28080 Majadahonda;Ambos sexos;Personas;72.173
Total Nacional;28080 Majadahonda;Hombres;Personas;34.215
Total Nacional;28080 Majadahonda;Mujeres;Personas;37.958
Total Nacional;28082 Manzanares el Real;Ambos sexos;Personas;9.223
Total Nacional;28082 Manzanares el Real;Hombres;Personas;4.681
Total Nacional;28082 Manzanares el Real;Mujeres;Personas;4.542
Total Nacional;28083 Meco;Ambos sexos;Personas;14.960
Total Nacional;28083 Meco;Hombres;Personas;7.567
Total Nacional;28083 Meco;Mujeres;Personas;7.393
Total Nacional;28084 Mejorada del Campo;Ambos sexos;Personas;23.673
Total Nacional;28084 Mejorada del Campo;Hombres;Personas;11.763
Total Nacional;28084 Mejorada del Campo;Mujeres;Personas;11.910
Total Nacional;28085 Miraflores de la Sierra;Ambos sexos;Personas;6.588
Total Nacional;28085 Miraflores de la Sierra;Hombres;Personas;3.380
Total Nacional;28085 Miraflores de la Sierra;Mujeres;Personas;3.208
Total Nacional;28086 Molar, El;Ambos sexos;Personas;9.305
Total Nacional;28086 Molar, El;Hombres;Personas;4.723
Total Nacional;28086 Molar, El;Mujeres;Personas;4.582
Total Nacional;28087 Molinos, Los;Ambos sexos;Personas;4.599
Total Nacional;28087 Molinos, Los;Hombres;Personas;2.291
Total Nacional;28087 Molinos, Los;Mujeres;Personas;2.308
Total Nacional;28088 Montejo de la Sierra;Ambos sexos;Personas;356
Total Nacional;28088 Montejo de la Sierra;Hombres;Personas;183
Total Nacional;28088 Montejo de la Sierra;Mujeres;Personas;173
Total Nacional;28089 Moraleja de Enmedio;Ambos sexos;Personas;5.336
Total Nacional;28089 Moraleja de Enmedio;Hombres;Personas;2.679
Total Nacional;28089 Moraleja de Enmedio;Mujeres;Personas;2.657
Total Nacional;28090 Moralzarzal;Ambos sexos;Personas;13.597
Total Nacional;28090 Moralzarzal;Hombres;Personas;6.781
Total Nacional;28090 Moralzarzal;Mujeres;Personas;6.816
Total Nacional;28091 Morata de Tajuña;Ambos sexos;Personas;7.908
Total Nacional;28091 Morata de Tajuña;Hombres;Personas;4.001
Total Nacional;28091 Morata de Tajuña;Mujeres;Personas;3.907
Total Nacional;28092 Móstoles;Ambos sexos;Personas;208.632
Total Nacional;28092 Móstoles;Hombres;Personas;101.488
Total Nacional;28092 Móstoles;Mujeres;Personas;107.144
Total Nacional;28093 Navacerrada;Ambos sexos;Personas;3.232
Total Nacional;28093 Navacerrada;Hombres;Personas;1.625
Total Nacional;28093 Navacerrada;Mujeres;Personas;1.607
Total Nacional;28094 Navalafuente;Ambos sexos;Personas;1.586
Total Nacional;28094 Navalafuente;Hombres;Personas;816
Total Nacional;28094 Navalafuente;Mujeres;Personas;770
Total Nacional;28095 Navalagamella;Ambos sexos;Personas;2.711
Total Nacional;28095 Navalagamella;Hombres;Personas;1.395
Total Nacional;28095 Navalagamella;Mujeres;Personas;1.316
Total Nacional;28096 Navalcarnero;Ambos sexos;Personas;30.696
Total Nacional;28096 Navalcarnero;Hombres;Personas;15.293
Total Nacional;28096 Navalcarnero;Mujeres;Personas;15.403
Total Nacional;28097 Navarredonda y San Mamés;Ambos sexos;Personas;141
Total Nacional;28097 Navarredonda y San Mamés;Hombres;Personas;89
Total Nacional;28097 Navarredonda y San Mamés;Mujeres;Personas;52
Total Nacional;28099 Navas del Rey;Ambos sexos;Personas;3.058
Total Nacional;28099 Navas del Rey;Hombres;Personas;1.593
Total Nacional;28099 Navas del Rey;Mujeres;Personas;1.465
Total Nacional;28100 Nuevo Baztán;Ambos sexos;Personas;6.678
Total Nacional;28100 Nuevo Baztán;Hombres;Personas;3.434
Total Nacional;28100 Nuevo Baztán;Mujeres;Personas;3.244
Total Nacional;28101 Olmeda de las Fuentes;Ambos sexos;Personas;365
Total Nacional;28101 Olmeda de las Fuentes;Hombres;Personas;189
Total Nacional;28101 Olmeda de las Fuentes;Mujeres;Personas;176
Total Nacional;28102 Orusco de Tajuña;Ambos sexos;Personas;1.291
Total Nacional;28102 Orusco de Tajuña;Hombres;Personas;663
Total Nacional;28102 Orusco de Tajuña;Mujeres;Personas;628
Total Nacional;28104 Paracuellos de Jarama;Ambos sexos;Personas;26.293
Total Nacional;28104 Paracuellos de Jarama;Hombres;Personas;13.229
Total Nacional;28104 Paracuellos de Jarama;Mujeres;Personas;13.064
Total Nacional;28106 Parla;Ambos sexos;Personas;130.550
Total Nacional;28106 Parla;Hombres;Personas;65.001
Total Nacional;28106 Parla;Mujeres;Personas;65.549
Total Nacional;28107 Patones;Ambos sexos;Personas;523
Total Nacional;28107 Patones;Hombres;Personas;253
Total Nacional;28107 Patones;Mujeres;Personas;270
Total Nacional;28108 Pedrezuela;Ambos sexos;Personas;6.168
Total Nacional;28108 Pedrezuela;Hombres;Personas;3.091
Total Nacional;28108 Pedrezuela;Mujeres;Personas;3.077
Total Nacional;28109 Pelayos de la Presa;Ambos sexos;Personas;2.814
Total Nacional;28109 Pelayos de la Presa;Hombres;Personas;1.432
Total Nacional;28109 Pelayos de la Presa;Mujeres;Personas;1.382
Total Nacional;28110 Perales de Tajuña;Ambos sexos;Personas;3.037
Total Nacional;28110 Perales de Tajuña;Hombres;Personas;1.538
Total Nacional;28110 Perales de Tajuña;Mujeres;Personas;1.499
Total Nacional;28111 Pezuela de las Torres;Ambos sexos;Personas;925
Total Nacional;28111 Pezuela de las Torres;Hombres;Personas;496
Total Nacional;28111 Pezuela de las Torres;Mujeres;Personas;429
Total Nacional;28112 Pinilla del Valle;Ambos sexos;Personas;196
Total Nacional;28112 Pinilla del Valle;Hombres;Personas;106
Total Nacional;28112 Pinilla del Valle;Mujeres;Personas;90
Total Nacional;28113 Pinto;Ambos sexos;Personas;53.625
Total Nacional;28113 Pinto;Hombres;Personas;26.536
Total Nacional;28113 Pinto;Mujeres;Personas;27.089
Total Nacional;28114 Piñuécar-Gandullas;Ambos sexos;Personas;184
Total Nacional;28114 Piñuécar-Gandullas;Hombres;Personas;96
Total Nacional;28114 Piñuécar-Gandullas;Mujeres;Personas;88
Total Nacional;28115 Pozuelo de Alarcón;Ambos sexos;Personas;87.080
Total Nacional;28115 Pozuelo de Alarcón;Hombres;Personas;41.669
Total Nacional;28115 Pozuelo de Alarcón;Mujeres;Personas;45.411
Total Nacional;28116 Pozuelo del Rey;Ambos sexos;Personas;1.214
Total Nacional;28116 Pozuelo del Rey;Hombres;Personas;631
Total Nacional;28116 Pozuelo del Rey;Mujeres;Personas;583
Total Nacional;28117 Prádena del Rincón;Ambos sexos;Personas;148
Total Nacional;28117 Prádena del Rincón;Hombres;Personas;78
Total Nacional;28117 Prádena del Rincón;Mujeres;Personas;70
Total Nacional;28118 Puebla de la Sierra;Ambos sexos;Personas;75
Total Nacional;28118 Puebla de la Sierra;Hombres;Personas;48
Total Nacional;28118 Puebla de la Sierra;Mujeres;Personas;27
Total Nacional;28902 Puentes Viejas;Ambos sexos;Personas;716
Total Nacional;28902 Puentes Viejas;Hombres;Personas;395
Total Nacional;28902 Puentes Viejas;Mujeres;Personas;321
Total Nacional;28119 Quijorna;Ambos sexos;Personas;3.589
Total Nacional;28119 Quijorna;Hombres;Personas;1.805
Total Nacional;28119 Quijorna;Mujeres;Personas;1.784
Total Nacional;28120 Rascafría;Ambos sexos;Personas;1.762
Total Nacional;28120 Rascafría;Hombres;Personas;959
Total Nacional;28120 Rascafría;Mujeres;Personas;803
Total Nacional;28121 Redueña;Ambos sexos;Personas;295
Total Nacional;28121 Redueña;Hombres;Personas;164
Total Nacional;28121 Redueña;Mujeres;Personas;131
Total Nacional;28122 Ribatejada;Ambos sexos;Personas;863
Total Nacional;28122 Ribatejada;Hombres;Personas;444
Total Nacional;28122 Ribatejada;Mujeres;Personas;419
Total Nacional;28123 Rivas-Vaciamadrid;Ambos sexos;Personas;93.272
Total Nacional;28123 Rivas-Vaciamadrid;Hombres;Personas;46.252
Total Nacional;28123 Rivas-Vaciamadrid;Mujeres;Personas;47.020
Total Nacional;28124 Robledillo de la Jara;Ambos sexos;Personas;97
Total Nacional;28124 Robledillo de la Jara;Hombres;Personas;50
Total Nacional;28124 Robledillo de la Jara;Mujeres;Personas;47
Total Nacional;28125 Robledo de Chavela;Ambos sexos;Personas;4.485
Total Nacional;28125 Robledo de Chavela;Hombres;Personas;2.354
Total Nacional;28125 Robledo de Chavela;Mujeres;Personas;2.131
Total Nacional;28126 Robregordo;Ambos sexos;Personas;70
Total Nacional;28126 Robregordo;Hombres;Personas;40
Total Nacional;28126 Robregordo;Mujeres;Personas;30
Total Nacional;28127 Rozas de Madrid, Las;Ambos sexos;Personas;95.294
Total Nacional;28127 Rozas de Madrid, Las;Hombres;Personas;46.074
Total Nacional;28127 Rozas de Madrid, Las;Mujeres;Personas;49.220
Total Nacional;28128 Rozas de Puerto Real;Ambos sexos;Personas;579
Total Nacional;28128 Rozas de Puerto Real;Hombres;Personas;336
Total Nacional;28128 Rozas de Puerto Real;Mujeres;Personas;243
Total Nacional;28129 San Agustín del Guadalix;Ambos sexos;Personas;13.626
Total Nacional;28129 San Agustín del Guadalix;Hombres;Personas;6.723
Total Nacional;28129 San Agustín del Guadalix;Mujeres;Personas;6.903
